Index,Dialogue_Group,Context_Index,Context_CharacterName,Context_Text,Context_Sprite,Dialogue_Action,Choice_Group,Dialogue_Type,Dialogue_Skip
1,Prologue_Start,1,나레이터,ⓦ오래전 어느 한적한 마을에서 아이가 태어났어요.,,FadeOut,,Narration,
2,Prologue_Start,,,ⓦ아이의 부모는 아이를 사랑했지만\ 아이와 함께 살 수 없었어요.,,,,,
3,Prologue_Start,,,ⓦ그들은 아이가 자신들보다 더 나은 삶을 살길 바랐거든요.,,,,,
4,Prologue_Start,,,ⓦ그들은 오랜 고민 끝에 마녀에게 편지를 보냈어요.,,,,,
5,Prologue_Start,,,ⓦ아이를 대신 키워달라는 편지였죠.,,,,,
6,Prologue_Start,2,편지,자애롭고 위대하신 마녀님\ 저희의 간곡한 소원을 들어주십시오.,,,,Letter,
7,Prologue_Start,,,저희 아이가 평화 속에 살며\ 아이의 선택이 곧 삶이 되도록 지켜주십시오.,,,,,
8,Prologue_Start,,,그리하여 아이가 행복할 수 있다면\ 저희는 달리 바랄 것이 없습니다. 아이의 행복만이 저희의 소원입니다.,,,,,
9,Prologue_Start,,,한때 저희가 당신께 그러하였듯\ 당신 역시 자비를 베푸시어 저희를 도와주시길 간곡히 부탁드립니다.,,,,,
10,Prologue_Start,3,나레이터,ⓦ편지를 받은 마녀는 웃음을 보이며 그들에게 답장했어요.,,,,Narration,
11,Prologue_Start,,,ⓦⓘ달그림자가 빛을 삼키는 날ⓝ 길을 열 것이니\ 아이를 데려오라고 말이에요.,,,,,
12,Prologue_Start,,,ⓦ답장을 받은 부모는 어떤 표정을 지었을까요? 뜻대로 되었음에 안도했을까요? 혹은 슬퍼했을까요?,,,,,
13,Prologue_Start,,,ⓦ이젠 그 누구도 알 수 없는 일이군요. 모든 것이 달그림자에 덮였나 봅니다.,,,,,
14,Prologue_Start,,,ⓦ하지만 우리가 알 수 있는 것이 있습니다. 바로 달그림자가 지나간 뒤의 이야기지요.,,,,,
15,Prologue_Start,,,ⓦ아이가 눈을 뜨고\ 세상을 보고\ 말로써 자신을 표현하기 시작한 뒤의 이야기입니다.,,,,,
16,Prologue_Start,4,주인공,마녀님\ 마녀님! 일어나세요! 벌써 아침이라고요!,Child_A,FadeIn,,ContextUp,
17,Prologue_Start,5,마녀,그래\ 일어났단다. 우리 꼬마 숙녀님은 잘 잤니?,Witch_Idle,,,,
18,Prologue_Start,6,주인공,네! 글쎄\ 제가 무슨 꿈을 꾼 지 아세요?,Child_A,,,,
19,Prologue_Start,7,마녀,글쎄…. 우리 숙녀님이 무슨 꿈을 꿨을까? 하늘을 나는 꿈이라도 꿨니?,Witch_Idle,,,,
20,Prologue_Start,8,주인공,땡\ 틀렸어요! 그건 저번주에 꾼 꿈이잖아요!,Child_A,,,,
21,Prologue_Start,9,마녀,흐음…. 어려운 문제로구나. 어떤 꿈인지 말해주겠니?,Witch_Idle,,,,
22,Prologue_Start,10,주인공,좋아요! 무려\ 무려 마녀님이랑 같이 소풍 가는 꿈을 꿨어요!,Child_A,,,,
23,Prologue_Start,11,마녀,어머\ 그것참 기뻤겠구나. 볕이 잘 드는 곳으로 향했겠지? 그곳에선 무얼 했니?,Witch_Idle,,,,
24,Prologue_Start,12,주인공,맛있는 걸 잔뜩 먹었어요! 참치 샌드위치도 먹었고\ 토마토 주스도 먹었고\ 또….,Child_B,,,,
